Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,month,year
5571,560,1,1,0,1,c,a,1270,9,2008,0,NA,NA,,7,15
6714,612,1,1,0,1,c,a,1270,9,2008,0,NA,NA,,7,15
5371,519,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,7,15
4257,449,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,7,15
4209,447,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,6,15
4689,487,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,6,15
6104,586,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,6,15
4587,485,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,6,15
4643,460,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,6,15
6040,590,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,6,15
4690,479,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,5,15
5219,536,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,5,15
5496,536,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,5,15
6354,579,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,4,15
3502,426,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,4,15
4202,480,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,4,15
5138,544,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,4,15
5183,535,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,4,15
3977,428,1,0,0,1,c,a,1270,9,2008,0,NA,NA,,4,15
7505,796,1,0,0,1,c,a,1270,9,2008,0,NA,NA,,4,15
7296,722,1,1,0,1,c,a,1270,9,2008,0,NA,NA,,4,15
5283,535,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,3,15
4691,521,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,3,15
5976,579,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,3,15
4387,512,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,2,15
4689,509,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,2,15
5345,512,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,2,15
5626,604,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,2,15
5216,544,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,2,15
6707,669,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,2,15
6001,638,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,1,15
5440,600,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,1,15
4492,494,1,1,0,1,c,a,1270,9,2008,0,NA,NA,,1,15
4173,457,1,1,0,1,c,a,1270,9,2008,0,NA,NA,,1,15
4080,421,1,0,0,1,c,a,1270,9,2008,0,NA,NA,,12,14
8113,850,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,12,14
5647,587,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,12,14
6919,712,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,12,14
7697,681,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,12,14
5939,611,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,11,14
7221,694,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,11,14
5034,555,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,11,14
5802,582,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,11,14
4673,512,1,0,0,1,c,a,1270,9,2008,0,NA,NA,,10,14
5135,539,1,0,0,1,c,a,1270,9,2008,0,NA,NA,,10,14
3960,442,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,9,14
4187,447,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,9,14
4873,490,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,9,14
4206,530,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,9,14
5572,564,1,1,0,1,c,a,1270,9,2008,0,NA,NA,,9,14
3569,421,1,0,0,1,c,a,1270,9,2008,0,NA,NA,,8,14
4969,544,1,0,0,1,c,a,1270,9,2008,0,NA,NA,,8,14
4225,479,1,0,0,1,c,a,1270,9,2008,0,NA,NA,,8,14
4391,505,1,0,0,1,c,a,1270,9,2008,0,NA,NA,,8,14
4954,503,1,1,0,1,c,a,1270,9,2008,0,NA,NA,,8,14
5912,575,1,1,0,1,c,a,1270,9,2008,0,NA,NA,,8,14
6053,620,1,1,0,1,c,a,1270,9,2008,0,NA,NA,,8,14
6074,587,1,1,0,1,c,a,1270,9,2008,0,NA,NA,,7,14
4319,461,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,7,14
4428,495,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,7,14
5270,514,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,7,14
5721,560,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,7,14
7071,709,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,6,14
5799,570,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,6,14
6207,593,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,6,14
6035,628,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,5,14
6551,628,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,4,14
6513,642,1,0,0,1,c,a,1270,9,2008,0,NA,NA,,4,14
4447,528,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,4,14
5290,552,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,4,14
5373,539,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,4,14
6648,640,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,3,14
4458,471,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,3,14
3668,443,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,3,14
5869,628,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,3,14
5052,542,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,3,14
4532,496,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,3,14
4064,476,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,3,14
4950,550,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,3,14
5122,559,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,2,14
5999,606,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,2,14
4093,502,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,2,14
5380,557,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,2,14
5495,589,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,1,14
5107,561,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,1,14
5685,587,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,1,14
6801,653,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,1,14
5758,630,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,1,14
4109,477,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,1,14
4935,539,1,1,0,1,c,a,1270,9,2008,0,NA,NA,,1,14
5520,589,1,1,0,1,c,a,1270,9,2008,0,NA,NA,,1,14
10658,1130,1,0,0,1,c,a,1270,9,2008,0,NA,NA,,12,13
5091,530,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,11,13
5175,575,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,11,13
5168,545,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,11,13
6608,681,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,11,13
5687,616,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,11,13
4533,519,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,11,13
5584,575,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,11,13
6178,707,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,11,13
4056,490,1,0,0,1,c,a,1270,9,2008,0,NA,NA,,10,13
3812,457,1,0,0,1,c,a,1270,9,2008,0,NA,NA,,10,13
6566,670,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,10,13
6044,592,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,10,13
4604,516,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,9,13
4817,568,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,9,13
4348,465,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,9,13
4691,496,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,9,13
5353,601,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,8,13
4608,522,1,0,0,1,c,a,1270,9,2008,0,NA,NA,,8,13
6196,624,1,1,0,1,c,a,1270,9,2008,0,NA,NA,,7,13
4965,544,1,0,0,1,c,a,1270,9,2008,0,NA,NA,,7,13
4459,496,1,0,0,1,c,a,1270,9,2008,0,NA,NA,,7,13
