,Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
0,1,5,2015-07-31,5263.0,,1,1,0,1
1,2,5,2015-07-31,6064.0,625.0,1,1,0,1
2,3,5,2015-07-31,8314.0,821.0,1,1,0,1
3,4,5,2015-07-31,13995.0,1498.0,1,1,0,1
4,5,5,2015-07-31,4822.0,559.0,1,1,0,1
5,6,5,2015-07-31,5651.0,589.0,1,1,0,1
6,7,5,2015-07-31,15344.0,1414.0,1,1,0,1
7,8,5,2015-07-31,8492.0,833.0,1,1,0,1
8,9,5,2015-07-31,8565.0,687.0,1,1,0,1
9,10,5,2015-07-31,7185.0,681.0,1,1,0,1
10,11,5,2015-07-31,10457.0,1236.0,1,1,0,1
11,12,5,2015-07-31,8959.0,962.0,1,1,0,1
12,13,5,2015-07-31,8821.0,568.0,1,1,0,0
13,14,5,2015-07-31,6544.0,710.0,1,1,0,1
14,15,5,2015-07-31,9191.0,766.0,1,1,0,1
15,16,5,2015-07-31,10231.0,979.0,1,1,0,1
16,17,5,2015-07-31,8430.0,946.0,1,1,0,1
17,18,5,2015-07-31,,936.0,1,1,0,1
18,19,5,2015-07-31,8234.0,718.0,1,1,0,1
19,20,5,2015-07-31,9593.0,974.0,1,1,0,0
20,21,5,2015-07-31,9515.0,682.0,1,1,0,1
21,22,5,2015-07-31,6566.0,633.0,1,1,0,0
22,23,5,2015-07-31,7273.0,560.0,1,1,0,1
23,24,5,2015-07-31,14190.0,1082.0,1,1,0,1
24,25,5,2015-07-31,14180.0,1586.0,1,1,0,1
25,26,5,2015-07-31,7818.0,611.0,1,1,0,1
26,27,5,2015-07-31,13213.0,1263.0,1,1,0,1
27,28,5,2015-07-31,7301.0,663.0,1,1,0,1
28,29,5,2015-07-31,9411.0,737.0,1,1,0,1
29,30,5,2015-07-31,4776.0,625.0,1,1,0,1
30,31,5,2015-07-31,7248.0,645.0,1,1,0,1
31,32,5,2015-07-31,6395.0,635.0,1,1,0,0
32,33,5,2015-07-31,10789.0,915.0,1,1,0,1
33,34,5,2015-07-31,11144.0,1162.0,1,1,0,1
34,35,5,2015-07-31,12412.0,777.0,1,1,0,1
35,36,5,2015-07-31,12422.0,1251.0,1,1,0,0
36,37,5,2015-07-31,9091.0,888.0,1,1,0,1
37,38,5,2015-07-31,7434.0,608.0,1,1,0,1
38,39,5,2015-07-31,8336.0,929.0,1,1,0,1
39,40,5,2015-07-31,5464.0,678.0,1,1,0,1
40,41,5,2015-07-31,6938.0,494.0,1,1,0,0
41,42,5,2015-07-31,11946.0,1235.0,1,1,0,1
42,43,5,2015-07-31,8096.0,683.0,1,1,0,1
43,44,5,2015-07-31,6670.0,665.0,1,1,0,1
44,45,5,2015-07-31,6301.0,442.0,1,1,0,1
45,46,5,2015-07-31,7628.0,775.0,1,1,0,0
46,47,5,2015-07-31,9379.0,1021.0,1,1,0,1
47,48,5,2015-07-31,3874.0,390.0,1,1,0,1
48,49,5,2015-07-31,10310.0,666.0,1,1,0,1
49,50,5,2015-07-31,5729.0,441.0,1,1,0,1
50,51,5,2015-07-31,9198.0,610.0,1,1,0,0
51,52,5,2015-07-31,8031.0,527.0,1,1,0,0
52,53,5,2015-07-31,7540.0,690.0,1,1,0,1
53,54,5,2015-07-31,10732.0,889.0,1,1,0,1
54,55,5,2015-07-31,6096.0,673.0,1,1,0,1
55,56,5,2015-07-31,10022.0,619.0,1,1,0,1
56,57,5,2015-07-31,11594.0,1025.0,1,1,0,1
57,58,5,2015-07-31,8581.0,603.0,1,1,0,0
